Rank,School,Res Score,PAS Score,RDS Score,GPA,MCAT,Accept,NIH $,NIH $/FM,F:S,Tuit/Fees,Enroll,Public/Private
1,A,100,5,4.7,3.91,517,0.033,1430.4,154.9,12.8,59731,720,Private
2,B,86,5,4.5,3.9,518,0.025,383.3,391.1,2,55314,487,Private
3,C,84,5,4.7,3.9,518,0.058,564.9,254.5,4.7,55266,471,Private
4,D,83,5,4.7,3.84,514,0.034,577.4,238.4,3.8,50764,633,Public
5,E,80,5,4.7,3.86,517,0.047,535,176.4,4.8,58809,629,Private
6,F,76,4,4.4,3.87,520,0.041,461.1,220.1,3.2,63890,660,Private
7,G,75,5,4.5,3.85,521,0.088,374,192.4,3.8,60798,507,Private
7,H,75,5,4.4,3.8,513,0.035,369.6,255.9,3,59072,478,Private
9,I,74,4,4.2,3.82,517,0.059,359.6,240.8,3.6,58644,411,Public
9,J,74,4,4.4,3.82,514,0.063,402.2,215.1,2.6,52708,719,Private
11,K,73,4,4.4,3.72,505,0.027,600.2,241.4,3.4,50169,737,Public
12,L,72,4,4.1,3.69,506,0.037,638.8,224.1,2.8,64387,1022,Public
12,M,72,4,3.9,3.91,520,0.054,310.8,285.4,1.9,55110,571,Private
14,N,71,4,4.2,3.87,520,0.041,353.3,128.2,7.2,53604,384,Private
15,O,70,4,4.1,3.82,514,0.061,476.7,212.3,3.7,54908,601,Private
15,P,70,4,4.1,3.88,520,0.041,222.1,237.8,2.6,57050,362,Private
17,Q,69,4,4.2,3.87,518,0.067,331.4,187.7,2.7,60680,648,Private
18,R,67,4,3.8,3.82,517,0.03,329.9,225,2.9,50043,507,Public
18,S,67,4,4.3,3.84,518,0.051,303.8,115.3,6.4,56335,409,Private
20,T,66,4,4,3.8,513,0.018,308.7,379.3,3.9,49900,207,Private
21,U,64,4,4.1,3.86,515,0.041,301,145.5,2.9,32663,718,Private
22,V,63,4,3.6,3.77,518,0.072,348.2,233.7,2.7,54731,561,Private
23,W,61,4,4.1,3.7,514,0.054,256.1,128.2,3.5,51100,575,Private
24,X,60,4,3.8,3.76,509,0.038,278,177.1,1.9,53661,834,Public
25,Y,58,4,3.9,3.85,513,0.082,202.8,89.3,2.4,33023,939,Public
25,Z,58,4,3.7,3.76,517,0.083,310.7,111.3,3.1,61386,896,Private
27,ZA,56,4,3.8,3.88,517,0.099,135,125.9,1.6,58238,650,Public
28,ZB,55,4,3.6,3.77,512,0.051,200.7,161.3,1.7,39761,725,Public
29,ZC,54,4,3.7,3.69,509,0.035,234.3,106.6,3.8,63415,578,Public
30,ZD,53,3,3.5,3.75,515,0.068,192,113.5,2.4,58198,698,Private
31,ZE,52,3.4,3.4,3.8,514,0.062,172,87.5,2.6,37345,770,Public
31,ZF,52,3,3.7,3.78,514,0.027,102,137.1,1.4,60028,544,Private
33,ZG,51,3.5,3.6,3.71,512,0.042,137.3,87.7,3.6,54830,431,Private
33,ZH,51,3.3,3.6,3.7,512,0.05,167.2,100.5,2.2,61689,762,Private
35,ZI,50,3.6,3.6,3.74,511,0.074,117.2,122.5,1.6,54003,603,Public
35,ZJ,50,3.4,3.7,3.69,512,0.041,100.2,126.9,2.2,61753,365,Private
35,ZK,50,3.6,3.6,3.71,511,0.04,173,46.2,5.4,63098,697,Public
35,ZL,50,3.2,3.3,3.82,515,0.04,162.1,85.3,2.5,55394,762,Public
35,ZM,50,3.7,3.5,3.77,507,0.069,186,134.3,1.7,64214,792,Private
40,ZN,48,3,3.2,3.76,513,0.085,196.6,107.3,2.7,48895,678,Public
40,ZO,48,3.2,3.2,3.86,513,0.05,121,89.1,2.5,49385,550,Public
40,ZP,48,3.3,3.2,3.79,511,0.069,129.9,103.7,2,63139,638,Public
